label	text
ham	Brunch on Sunday? I know a great spot.
ham	I'm logging off early today. Not feeling well.
ham	The yoga class starts at 6 AM. Are you still in?
ham	I ordered new curtains for the living room.
ham	Can you ask your boss about the reference letter?
ham	The kids want to go to the water park this weekend.
ham	I'm making a playlist for the road trip. Any song requests?
ham	Did you take the chicken out of the freezer?
ham	I rescheduled the parent-teacher conference to next week.
ham	Let's grab a beer after work. It's been a rough day.
ham	The new coffee maker arrived. It makes amazing espresso!
ham	Your tax documents are ready for pickup at the office.
ham	I can't find the remote. Have you seen it?
ham	The ceiling fan in the bedroom is wobbly. We should fix it.
ham	I'm volunteering at the food bank this Saturday. Want to come?
ham	Let's do a movie marathon this weekend.
ham	Did the mechanic call about the car?
ham	I booked a table at that Japanese place for our anniversary.
ham	The HOA meeting is next Wednesday at 7 PM.
ham	Just transferred the money to your account.
ham	I'm going to start jogging in the mornings. Join me?
ham	Want me to set up the projector for your presentation?
ham	The movers are coming at 8 AM sharp. Be ready.
ham	Thank you for the flowers. They're beautiful!
ham	I think we need a new mattress. My back is killing me.
ham	Your dry cleaning is ready for pickup.
ham	Can you schedule a meeting with the design team?
ham	I enrolled in an online photography course.
ham	The fridge is making a buzzing sound again.
ham	I got a new phone case. It's really nice.
ham	Are you going to vote tomorrow?
ham	I packed your suitcase. Don't forget your passport.
ham	We should replace the bathroom tiles this summer.
ham	The cat knocked over the vase again.
ham	I'm at the hardware store. What size screws do we need?
ham	Thanks for covering my shift last week.
ham	I set up the new printer in the office.
ham	Let's sync up first thing Monday morning.
ham	Can you remind me to call the bank tomorrow?
ham	I'm heading out for a quick run. Be back soon.
ham	The tree in the backyard needs trimming.
ham	I got a library card today. They have a great selection.
ham	Can you update the project timeline and share it with the team?
ham	The potluck is Thursday. I'm bringing mac and cheese.
ham	I finally got around to organizing the closet.
ham	You left your headphones at my place.
ham	The sunset from the balcony is gorgeous tonight.
ham	What size shirt does your dad wear?
ham	I'm thinking of volunteering at the animal shelter.
ham	The roof inspector is coming next Monday.
ham	Can you double-check the invoice before I send it?
ham	I filled up the car with gas on my way home.
ham	The water heater is acting up again.
ham	Let's go apple picking next weekend.
ham	I mailed the thank you cards this morning.
ham	Do we have any stamps left?
ham	The air filter in the car needs to be changed.
ham	I registered us for the 5K charity run.
ham	Can you send me the meeting notes from yesterday?
ham	The kids had a blast at the zoo today.
ham	I spoke with the contractor. Renovation starts next month.
ham	Let's order some new office supplies.
ham	Don't worry about it, these things happen.
ham	I'll be in meetings all morning but free after lunch.
ham	The dishwasher isn't draining properly.
ham	Just uploaded all the vacation photos to Google Drive.
ham	I heard back from the university. I got accepted!
ham	Can you add me to the shared document?
ham	The snowstorm delayed my flight. Arriving tomorrow instead.
ham	We need to discuss the quarterly sales figures.
ham	Happy New Year! Wishing you all the best in 2026.
ham	My car won't start. Can you jump it for me?
ham	The kids need new shoes for school.
ham	I'll handle the presentation slides for next week.
ham	Can you take a look at this error in the code?
ham	The pest control appointment is set for Friday at 10.
ham	I'm thinking about switching to a plant-based diet.
ham	Want to hit the driving range this weekend?
ham	The street outside is flooded after that storm.
ham	I dropped the package off at the post office.
ham	Can you believe we've been friends for 15 years?
ham	Let me know when you arrive so I can buzz you in.
ham	I finally beat that level in the game!
ham	Your prescription is ready at Walgreens.
ham	Just checking in. How's everything going?
ham	The school district sent the bus schedule for next year.
ham	I forgot my wallet at home. Can you lend me some cash?
ham	Let's do something special for Mom's birthday this year.
ham	Want to join my book club? We meet the first Tuesday of every month.
ham	I think we should switch internet providers.
ham	Your performance review is scheduled for next Thursday.
ham	Can you bring extra towels for the beach trip?
ham	I love the new wallpaper in the hallway!
ham	The gutter needs cleaning before the next rain.
ham	I'll set an alarm for 5 AM. We need to leave early.
ham	Thanks for being such a great friend.
ham	The PTA meeting is this Wednesday at the school gym.
ham	I booked the cabin for our family reunion in August.
ham	Can you stop by the bank and deposit this check?
ham	I'm at the eye doctor. Might need new glasses.
ham	The garage sale is this Saturday. Help me set up?
ham	Good luck with your interview today! You've got this.
ham	I'm making chili for dinner. Hope you're hungry!
ham	Please send me the final version of the contract.
ham	The pool needs to be cleaned before the party.
ham	I finished all my errands. Heading home now.
ham	Can you text me the gate code for the apartment?
ham	I got a raise at work! Let's celebrate tonight.
ham	Want to do a puzzle night instead of watching TV?
ham	The furnace needs maintenance before winter.
ham	I baked a cake for the office birthday celebration.
ham	Don't forget your jacket, it's supposed to rain later.
ham	I'm at the car wash. Should I get the premium package?
ham	Can you approve my expense report? I submitted it yesterday.
ham	I'm downloading that app you recommended.
ham	The backyard fence blew over in the wind.
ham	I'll handle the kids' lunches this week.
ham	Let's go stargazing tonight. The sky is supposed to be clear.
ham	The tax filing deadline is April 15th. Are you ready?
ham	I just got my test results. Passed with flying colors!
ham	The new neighbors seem really friendly.
ham	I fixed the leaky faucet in the kitchen.
ham	Can you look after the cat while we're on vacation?
ham	I'm donating some old clothes. Want to add anything?
ham	The traffic light on Elm Street is out again.
ham	Let's get matching costumes for Halloween!
ham	I renewed the gym membership for both of us.
ham	Thank you for the thoughtful card. It made my day.
ham	The spring cleaning starts this weekend. All hands on deck!
ham	I set up your new email account. Check your inbox.
ham	Want to go bowling this Friday night?
ham	Can you bring the first aid kit? Just in case.
ham	The new sofa gets delivered on Tuesday.
ham	I'm taking a mental health day tomorrow.
ham	We need to RSVP for the Smith's dinner party.
ham	Let me know if the document formatting looks right.
ham	The hiking trail is open again after the repairs.
ham	Just got a message from the airline. Our seats have been upgraded!
ham	I watered all the houseplants this morning.
ham	Can you look into childcare options for next month?
ham	How was the conference? Did you learn anything interesting?
ham	The kids have a half day at school on Friday.
ham	I ordered a new battery for the laptop.
ham	Let's make homemade pizza tonight.
ham	The washing machine is making that noise again.
ham	Can you call the vet and schedule a checkup for Max?
ham	I'm reorganizing my desk. Found three pens I thought I lost.
ham	The marathon is in two weeks. Are you ready?
ham	Just spotted a rainbow outside. Come look!
ham	I got the oil changed and tires rotated today.
ham	Can you teach me how to use the new software?
ham	The neighborhood watch meeting is tonight at 8.
ham	I started reading that book you lent me. It's really good so far.
ham	Your glasses are on the kitchen counter.
ham	I signed the permission slip for the field trip.
ham	The backyard is a mess after the storm. I'll clean it up.
ham	Want to learn salsa dancing with me?
ham	Can you proofread this email before I send it to the client?
ham	The morning meeting has been moved to 10 AM.
ham	I made a fresh pot of coffee. Come get some.
ham	We should go through the old boxes in the attic soon.
ham	I left your lunch on the kitchen table.
ham	Can we discuss the project scope tomorrow morning?
ham	The farmers market has great strawberries right now.
ham	Thinking of redecorating the guest room. Any color ideas?
ham	I have jury duty next week.
ham	Let's try that new board game tonight.
ham	The sprinkler system needs adjusting for summer.
ham	Thanks for always making me laugh. You're the best.
ham	I picked up the cake for the party. It looks amazing!
ham	The bus is running late today.
ham	Can you record the show tonight? I won't be home in time.
ham	Our reservation at the B&B is confirmed for the weekend.
ham	I noticed the porch light is flickering. Can we replace it?
ham	The team happy hour is at 5:30 at O'Malley's.
ham	I registered the kids for summer camp.
ham	Your mom sent us a care package. It arrived today!
ham	I just realized I double-booked Wednesday. Can we move our meeting?
ham	The dog needs a bath. He rolled in mud at the park.
ham	I'm making a grocery list. Anything specific you want?
ham	Happy Thanksgiving! Grateful for our friendship.
ham	The garage door opener stopped working.
ham	I planted some tomatoes in the garden today.
ham	Can you ask Sarah for the recipe she made last time?
ham	The window in the bedroom won't close properly.
ham	Let me know if the wifi is working for you now.
ham	I found a great hiking trail about an hour from here.
ham	The team-building event is next Friday. Don't miss it.
ham	I'm trying to cut down on screen time in the evenings.
ham	Want to check out the new art exhibit this weekend?
ham	Can you unload the dishwasher while I cook?
ham	I'm going to the post office. Need anything mailed?
ham	The landlord said they'll fix the heating next week.
ham	I miss our old neighborhood sometimes.
ham	Let's FaceTime tonight. Haven't seen your face in a while!
ham	Can you help me move the couch to the other wall?
ham	I gave the dog his medicine this morning.
ham	The school sent the grades. The kids did great!
ham	I'll swing by the tailor to pick up your suit.
ham	Want to volunteer at the soup kitchen this Christmas?
ham	I got the estimate from the mechanic. It's not too bad.
ham	The dryer vent needs cleaning. It's a fire hazard.
ham	Can you pick up AAA batteries on your way home?
ham	I updated my resume. Can you take a look at it?
ham	The sunset was beautiful tonight. Wish you could've seen it.
ham	I'm going to try meditating every morning.
ham	The block party is coming up. Should we volunteer?
ham	I called the insurance company. They're processing the claim.
ham	I organized the pantry today. We have way too many cans.
ham	Let's go ice skating when the rink opens next month.
ham	Can you bring the board games to the family gathering?
ham	I'm looking into flights for Thanksgiving. Prices are going up.
ham	The pediatrician said the kids are healthy and growing well.
ham	I'm going to start meal prepping on Sundays.
ham	Your alumni association emailed about the reunion.
ham	I cleaned the gutters today. Not a fun job.
ham	Can you show me how to set up the smart thermostat?
ham	The tree out front is dropping leaves everywhere.
ham	I got new running shoes. They're so comfortable!
ham	Are you coming to the neighborhood potluck?
ham	I backed up all the photos to the external drive.
ham	Let's revisit the budget this weekend.
spam	CONGRATULATIONS! You've been selected to receive a $1000 Walmart gift card. Go to http://bit.ly/claim-prize now to claim your reward!
spam	WINNER!! You have won a guaranteed $5,000,000 in the International Lottery! To claim, call +44-7890-123456 immediately.
spam	FREE entry in a weekly competition to win an iPhone 15 Pro. Reply WIN to 80888 now! T&Cs apply.
spam	URGENT: Your bank account has been compromised! Verify your identity immediately at http://secure-bank-login.com to avoid suspension.
spam	Get 85% OFF on all medications! Viagra, Cialis, and more available without prescription at www.cheapmeds-online.com
spam	You have been chosen for a guaranteed cash prize of $10,000! Call 1-800-555-0199 to claim. Limited time offer!
spam	Act now! Pre-approved personal loan up to $50,000 with 0% interest for the first 6 months. Apply at www.easy-loans-today.com
spam	Hey, I saw your profile and you look amazing. Check out my pics at www.dating-hookup-4u.com. Can't wait to hear from you!
spam	Your Apple ID has been locked for security reasons. Click here to unlock: http://apple-id-verify.com
spam	Congratulations! You have been selected as our lucky customer of the day! Claim your FREE Samsung Galaxy now at www.free-prize-claim.com
spam	LOSE 30 POUNDS IN 30 DAYS! Revolutionary new weight loss pill approved by doctors. Order now at www.slim-fast-pills.com
spam	FINAL NOTICE: Your vehicle warranty is about to expire. Call 1-888-555-0342 now to renew and avoid costly repairs!
spam	You've won 2 FREE tickets to the Bahamas! Claim your prize before it expires. Visit www.free-vacation-deal.com
spam	Dear Customer, your PayPal account has unusual activity. Log in at http://paypal-secure-verify.com to confirm your identity.
spam	Make $5,000/week working from home! No experience needed. Visit www.easy-money-online.com for more details.
spam	EXCLUSIVE CASINO BONUS: Get $500 FREE when you sign up today at www.mega-casino-bonus.com! Play and win big!
spam	Your Netflix subscription payment failed. Update your billing info at http://netflix-billing-update.com to avoid interruption.
spam	Claim your tax refund NOW! You are owed $3,847.50 by the IRS. File immediately at www.fast-tax-refund.com
spam	FLASH SALE: 90% off designer watches, bags, and shoes. Limited stock! Shop now at www.luxury-deals-outlet.com
spam	Hi, we noticed you haven't claimed your PPI refund. You could be owed thousands! Call 0800-555-1234 today.
spam	Want bigger muscles fast? Try our new testosterone booster. 100% natural. Buy 2 get 1 FREE at www.muscle-max-pro.com
spam	Your Amazon order #38492 cannot be delivered. Confirm your address at http://amazon-delivery-update.com
spam	CONGRATULATIONS! Your mobile number has won $25,000 in the Nokia Anniversary Draw. Reply with your full name and address to claim.
spam	Low credit score? No problem! Get approved for a credit card with a $10,000 limit. Apply at www.instant-credit-approval.com
spam	Earn $200/hour doing simple online tasks. Start today! Visit www.online-tasks-money.com for more info.
spam	URGENT: We detected suspicious activity on your Chase account. Secure your account now at http://chase-secure-alert.com
spam	You've been pre-selected for a RISK-FREE trial of our anti-aging cream. Just pay $4.95 shipping at www.youth-restore-cream.com
spam	FREE RINGTONES! Download the latest ringtones and wallpapers for your phone. Text TONE to 87121. Only $3.99/week.
spam	Dear Winner, you have been awarded $1,000,000 in the Microsoft Email Lottery. Contact claimsagent@lottery-payout.com
spam	Debt consolidation made easy! Combine all your debts into one low monthly payment. Call 1-866-555-0778 now.
spam	Hot singles in your area want to meet you tonight! Join FREE at www.local-singles-dating.com
spam	Your Social Security number has been suspended due to suspicious activity. Call 1-800-555-0912 immediately to reactivate.
spam	BUY ONE GET ONE FREE on all CBD oil products! Relieve pain naturally. Shop at www.pure-cbd-deals.com
spam	You're eligible for a government grant of $25,000! No repayment required. Apply now at www.free-gov-grant.com
spam	LIMITED OFFER: Solar panels installed for $0 down. Save up to 70% on your electric bill. Call 1-877-555-0456
spam	Congratulations! Your email has won you a brand new BMW 3 Series. Send your details to claim@auto-prize-draw.com
spam	PHARMACY SALE: Up to 80% off on prescription medications. No prescription needed. Order at www.discount-pharma-store.com
spam	Alert: Your Wells Fargo account will be closed in 24 hours unless you verify at http://wellsfargo-verify-account.com
spam	Win a $100 Amazon gift card! Complete a quick 30-second survey at www.survey-reward-amazon.com
spam	BREAKING: Secret investment strategy makes ordinary people millionaires! Learn how at www.crypto-wealth-secret.com
spam	Tired of erectile dysfunction? Try our all-natural solution. Works in 30 minutes! Order at www.male-enhance-pro.com
spam	Your computer has been infected with 3 viruses! Download our FREE antivirus now at www.total-antivirus-protect.com
spam	FINAL WARNING: Pay your overdue tax of $4,329 within 24 hours or face legal action. Call IRS hotline at 1-800-555-0667
spam	Get rich quick with Bitcoin! Invest $250 and earn $10,000 in just 7 days. Start at www.bitcoin-profit-system.com
spam	You've been selected for a mystery shopper position! Earn $300 per assignment. Apply at www.mystery-shop-jobs.com
spam	SAVE BIG on car insurance! Get a FREE quote in 2 minutes. Visit www.cheap-auto-insurance-quotes.com
spam	Your WhatsApp account will be deactivated. Verify now at http://whatsapp-verify-account.com to keep your account active.
spam	FREE SAMPLE of our #1 rated teeth whitening kit! Just pay shipping. Order at www.bright-smile-whitening.com
spam	JACKPOT ALERT: Play now and win up to $1,000,000 at www.royal-jackpot-casino.com. First deposit doubled!
spam	We have a job opening that pays $2,000/week. No interviews needed! Send your resume to jobs@easy-hire-now.com
spam	IMPORTANT: Your Google account security alert. Someone tried to sign in. Verify at http://google-security-check.com
spam	Slash your mortgage rate to 2.5%! Refinance today with no closing costs. Call 1-855-555-0923
spam	You're invited to try our premium dating service FREE for 30 days. Meet wealthy singles at www.elite-matchmaking.com
spam	ATTENTION: You may be entitled to compensation for mis-sold insurance. Claim up to $7,500 at www.insurance-claims-now.com
spam	Guaranteed approval for payday loans up to $5,000! Bad credit OK. Apply at www.instant-payday-cash.com
spam	FREE PlayStation 5! Be one of the first 100 to register at www.ps5-free-giveaway.com and claim yours today!
spam	Your Venmo account has been limited. Please verify your information at http://venmo-account-verify.com
spam	UNBELIEVABLE DEAL: All-inclusive vacation package to Cancun for just $199! Book now at www.cancun-deal-vacation.com
spam	Make money with your smartphone! Earn $50 for every app you download. Start now at www.app-cash-rewards.com
spam	WARNING: 4 viruses detected on your device. Your personal data is at risk! Scan now at www.device-security-scan.com
spam	Congratulations! You've qualified for a FREE home security system installation. Call 1-800-555-0145 to schedule.
spam	LAST CHANCE: Claim your inheritance of $2.5 million from a deceased relative. Contact barrister@inheritance-claim.com
spam	New superfood burns belly fat overnight! Doctors hate this trick. Learn more at www.belly-fat-miracle.com
spam	YOUR LUCKY DAY! Spin the wheel and win prizes up to $50,000 at www.spin-win-prizes.com
spam	Student loan forgiveness program now accepting applications! Reduce your debt by up to 90%. Apply at www.loan-forgiveness-help.com
spam	EXCLUSIVE: Work from home and earn $10,000/month. Limited spots available. Register at www.home-income-system.com
spam	Your DHL package is on hold due to unpaid customs fee of $2.99. Pay now at http://dhl-customs-payment.com
spam	Buy followers, likes, and views for your social media! Starting at $5.99. Visit www.social-boost-pro.com
spam	HUGE SAVINGS on energy bills! Switch providers and save up to $800/year. Get a free quote at www.energy-switch-save.com
spam	Congratulations! Your phone number won $150,000 in the Vodafone Lucky Draw. Send your details to claim@vodafone-draw.com
spam	STOP HAIR LOSS NOW! Clinically proven formula regrows hair in 2 weeks. Order at www.hair-regrow-formula.com
spam	Alert: Unusual login detected on your Instagram. Verify your identity at http://instagram-security-verify.com
spam	FREE trial of our premium VPN service! Protect your data online. Sign up at www.ultra-vpn-free.com
spam	You have unclaimed cashback of $847.30! Log in at http://cashback-claim-center.com to withdraw immediately.
spam	WIN a luxury cruise for 2! Enter our sweepstakes at www.dream-cruise-sweepstakes.com. No purchase necessary.
spam	QUICK CASH: Sell your old gold and jewelry for top dollar! Get a free appraisal at www.gold-buyers-direct.com
spam	Your Uber account has been flagged. Confirm your payment method at http://uber-payment-confirm.com to continue using the service.
